#UGC 89 / NGC 23 #GHASP survey https://academic.oup.com/mnras/article/388/2/500/976912#86133715
# Rad	Vobs	errV
# kpc	km/s	km/s
0.29 	137 	16 
0.32 	192 	17 
0.63 	304 	14 
0.67 	198 	12 
1.04 	305 	25 
1.04 	340 	11 
1.38 	370 	16 
1.44 	338 	5 
1.80 	317 	24 
1.82 	368 	10 
2.20 	342 	12 
2.22 	281 	12 
2.60 	317 	11 
2.70 	277 	7 
3.09 	298 	12 
3.11 	331 	18 
3.32 	315 	7 
3.80 	324 	10 
3.90 	318 	8 
4.37 	318 	5 
4.76 	309 	4 
5.02 	318 	9 
5.22 	324 	5 
5.71 	297 	9 
5.84 	328 	7 
6.27 	310 	9 
6.67 	356 	7 
7.03 	337 	5 
7.60 	392 	6 
8.73 	353 	11 
9.26 	383 	6 
